id,buName,dpId,dpName,profitCenter
395,"Enterprise SD - Media",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2532
396,"Enterprise Aviation",99999997,"DP END USER",3012
397,"Enterprise SD - Resources",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2533
398,"Enterprise SD - Media",99999997,"DP END USER",2532
399,"Enterprise SD - NGO",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2534
400,"Enterprise SD - NGO",3055,"CHINA TELECOM SATELLITE CO. LTD.",2534
401,"Enterprise SD - Mining / Construction",3055,"CHINA TELECOM SATELLITE CO. LTD.",2535
402,"Enterprise SD - FinTech",9101,"CONNECT ACCREDITATION PROGRAMME",2538
403,"Global Government",99999997,"DP END USER",4500
404,"Enterprise SD - Resources",99999997,"DP END USER",2533
405,"US Government",1970,"DP INM WORLD",4001
406,"Enterprise SD - Media",1970,"DP INM WORLD",2532
407,"Enterprise SD - Resources",1970,"DP INM WORLD",2533
408,"Enterprise SD - Mining / Construction",1970,"DP INM WORLD",2535
409,"Enterprise SD - AgriTech",1970,"DP INM WORLD",2536
410,"Enterprise SD - FinTech",1970,"DP INM WORLD",2538
411,"Enterprise SD - BYOD",1970,"DP INM WORLD",2539
412,"Enterprise SD - Other business",1970,"DP INM WORLD",2541
413,"Enterprise Aviation",99999996,"DP SERVICE PROVIDER",3012
414,"Global Government",99999996,"DP SERVICE PROVIDER",4500
415,Maritime,99999996,"DP SERVICE PROVIDER",1348
416,"US Government",99999996,"DP SERVICE PROVIDER",4001
417,"Enterprise SD - Media",99999996,"DP SERVICE PROVIDER",2532
418,"Enterprise SD - Resources",99999996,"DP SERVICE PROVIDER",2533
419,"Enterprise SD - NGO",99999996,"DP SERVICE PROVIDER",2534
420,"Enterprise SD - Mining / Construction",99999996,"DP SERVICE PROVIDER",2535
421,"Enterprise SD - AgriTech",99999996,"DP SERVICE PROVIDER",2536
422,"Enterprise SD - Integrated Transport",99999996,"DP SERVICE PROVIDER",2537
423,"Enterprise SD - FinTech",99999996,"DP SERVICE PROVIDER",2538
424,"Enterprise SD - BYOD",99999996,"DP SERVICE PROVIDER",2539
